NAME,MSINI-mjupiter,A-au,PER-day,ECC,OM-deg,T0-jd,K-m/s,ORBREF,ORBURL,FIRSTREF,FIRSTURL,OTHERNAME,COMP,HD,HIPP,HR,SAO,GL,BINARY,BINARYURL,BINARYREF,RA-hr,DEC-deg,RA_STRING,DEC_STRING,KEPID,KOI,KDE,EOD,IMAGING,MICROLENSING,TIMING,ASTROMETRY,BMV,V,VURL,VREF,J,H,PAR-marcsec,DIST-pc,VSINI-km/s,KS,GAMMA-km/s,DVDT-m/s/day,I-deg,MASS-mjupiter,SEP-au,TREND,LAMBDA-deg,BIGOM-deg,DEPTH,T14-day,TT,R-rjupiter,AR,DENSITY-\g/cm^3,GRAVITY,B,TRANSIT,TRANSITURL,TRANSITREF,DR,RR,SE,SEURL,SEREF,SEDEPTHJ,SEDEPTHH,SEDEPTHKS,SEDEPTHKP,SEDEPTH36,SEDEPTH45,SEDEPTH80,SEDEPTH58,RMS,CHI2,NOBS,NCOMP,MULT,PLANETDISCMETH,STARDISCMETH,DATE,STAR,MSTAR-msun,RSTAR-rsun,TEFF-k,RHOSTAR-g/cm^3,LOGG,FE,SHK,RHK,JSNAME,EPEURL,KP,SIMBADNAME,SIMBADURL,ETDNAME,ETDURL,EANAME,EAURL
Kepler-107 d,,0.0780099,7.958203,,90,2454970.8,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,KOI-117,d,,,,,,0,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,19.80188056,48.20861111,48:06.8,+48:12:31.00,,117.04,1,1,0,0,0,0,,,,,11.392,11.114,,,,11.06,,,,0.00371234,0.0780099,0,,,,0.178167,2454970.8,0.095459,11.9153,,,0.27,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,,,0,,Predicted,,,,,,,,,,,,4,1,Transit,Transit,2014,Kepler-107,,1.411,5851,,4.196,,,,Kepler-107,http://exoplanet.eu/star.php?st=Kepler-107,,Kepler-107,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-107,,,Kepler-107 d,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-107+d&type=PLANET+HOST
Kepler-1049 b,,0.0344721,3.27346074,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,,b,,,,,,0,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,19.15645,47.77294444,09:23.2,+47:46:22.6,,2006.01,1,1,0,0,0,0,,,,,11.971,11.348,7.75194,129,,11.18,,,,0.00245309,0.0344721,0,,,0.00030695,0.073883,2454967.447,0.085,15.1619,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.01752,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Kepler-1049,0.51,0.49,3864,,4.77,-0.33,,,,,14.22,,,,,Kepler-1049 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-1049+b&type=PLANET+HOST
Kepler-813 b,,0.13761,19.12947337,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,,b,,,,,,0,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,19.04418056,48.43536111,02:39.1,+48:26:07.3,,1310.01,1,1,0,0,0,0,,,,,13.498,13.031,1.19048,840,,13.122,,,,0.0159697,0.13761,0,,,0.000460103,0.15654,2454972.435,0.191,31.8896,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.02145,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Kepler-813,0.95,0.93,5743,,4.48,-0.13,,,,,14.569,,,,,Kepler-813 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-813+b&type=PLANET+HOST
Kepler-427 b,0.310432,0.091351,10.290994,0,90,2454970.022,29.8,Hebrard 2014,http://adsabs.harvard.edu/abs/2014A%26A...572A..93H,Borucki 2010,http://adsabs.harvard.edu/abs/2010Sci...327..977B,KOI-192 b,b,,,,,,0,http://adsabs.harvard.edu/abs/2014A%26A...572A..93H,Hebrard 2014,19.21697194,43.70486111,13:01.1,+43:42:17.5,,192.01,1,1,0,0,0,0,0.71,14.42,,,13.161,12.814,0.909091,1100,3,12.777,-24.346,,89.5,0.29,0.091351,0,,,0.008336,0.1789,2454970.022,1.23,14.5835,0.16,2.73021,0.09,1,http://adsabs.harvard.edu/abs/2014A%26A...572A..93H,Hebrard 2014,,0.0913,0,,Predicted,,,,,,,,,8,,9,1,0,Transit,Transit,2010,Kepler-427,0.96,1.35,5800,0.4,4.14,-0.19,,,KOI-192 b,http://exoplanet.eu/star.php?st=KOI-192+b,14.22,2MASS J19130109+4342175,http://simbad.harvard.edu/simbad/sim-id?Ident=2MASS+J19130109%2B4342175,,,,
Kepler-1056 b,,0.185149,27.495606,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,,b,,,,,,0,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,19.9684,46.89925,58:06.2,+46:53:57.3,,2018.01,1,1,0,0,0,0,,,,,13.242,12.895,1.02987,971,,12.827,,,,0.0271261,0.185149,0,,,0.000545222,0.20933,2454966.284,0.269,33.2523,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.02335,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Kepler-1056,1.12,1.2,6127,,4.33,0.02,,,,,14.55,,,,,Kepler-1056 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-1056+b&type=PLANET+HOST
Kepler-1165 b,,0.0912977,9.478522,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,,b,,,,,,0,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,19.13141667,44.70830556,07:53.1,+44:42:29.9,,2263.02,1,1,0,0,0,0,,,,,13.362,13.08,0.925069,1081,,13.07,,,,0.0115843,0.0912977,0,,,0.00014641,0.25929,2454973.167,0.138,16.6748,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.0121,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Kepler-1165,1.13,1.18,6080,,4.34,0.05,,,,,14.456,,,,,Kepler-1165 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-1165+b&type=PLANET+HOST
Kepler-1104 b,,0.0627651,5.03728015,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,,b,,,,,,0,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,19.63123611,49.33102778,37:52.5,+49:19:51.7,,2110.01,1,1,0,0,0,0,,,,,11.215,11.012,1.93798,516,,10.971,,,,0.00609283,0.0627651,0,,,6.70761E-05,0.078533,2454967.109,0.11,9.59359,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.00819,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Kepler-1104,1.3,1.41,6417,,4.25,0.13,,,,,12.189,,,,,Kepler-1104 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-1104+b&type=PLANET+HOST
WASP-14 b,7.65457,0.0367693,2.243752,0.091,253.371,2454462.33,993,Joshi 2009,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,Joshi 2009,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,2MASS J14330635+2153409,b,,,,83398,,0,,,14.55176528,21.89469444,33:06.4,+21:53:40.9,,,0,1,0,0,0,0,0.46,9.75,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,Joshi 2009,8.869,8.65,6.25,160,4.9,8.621,-5.627,,84.32,7.69234,0.0367693,0,-33.1,,0.0102,0.1275,2454463.576,1.281,6.04917,4.65633,4.06276,0.535,1,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,Joshi 2009,,,1,,,,,,,0.00187,0.00224,0.00182,,10,,27,1,0,Transit,Transit,2009,WASP-14,1.31,1.31,6475,0.542,4.07,0,,,WASP-14,http://exoplanet.eu/star.php?st=WASP-14,,BD+22 2716,http://simbad.harvard.edu/simbad/sim-id?Ident=BD%2B22+2716,WASP-14 b,http://var2.astro.cz/ETD/etd.php?STARNAME=WASP-14&PLANET=b,WASP-14 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=WASP-14+b&type=PLANET+HOST
Kepler-50 b,,0.0825598,7.8125124,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,KOI-262,b,,,,,,0,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Steffen 2013,19.20672694,50.03372222,12:24.2,+50:02:01.4,,262.01,1,1,0,0,1,0,0.48,10.54,,,9.518,9.25,,,,9.197,,,,0.0164915,0.0825598,0,,,,0.176829,2455005.632,0.196096,,,,0.8955,1,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Steffen 2013,6.6581,0.01074,0,,Predicted,,,,,,,,,,,,2,1,Transit,Transit,2011,Kepler-50,1.23,1.88,6058,,3.98,,,,Kepler-50,http://exoplanet.eu/star.php?st=Kepler-50,10.421,Kepler-50,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-50,,,Kepler-50 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-50+b&type=PLANET+HOST
NN Ser d,0.642621,3.70596,2605,0.05,152,2458029,9.5,Horner 2012,http://adsabs.harvard.edu/abs/2012MNRAS.425..749H,Beuermann 2010,http://adsabs.harvard.edu/abs/2010A%26A...521L..60B,2MASS J15525613+1254446,d,,,,,,0,http://adsabs.harvard.edu/abs/2012MNRAS.425..749H,Horner 2012,15.88225861,12.91238889,52:56.1,+12:54:44.6,,,0,1,0,0,1,0,-0.672001,16.672,,,16.91,16.25,,,,16.17,,,,0.642621,3.70596,0,,,,,,,,,,,0,,,,,0,,Predicted,,,,,,,,,3.23,0.75,,2,1,Timing,Timing,2010,NN Ser,,,,,,,,,NN Ser (ab),http://exoplanet.eu/star.php?st=NN+Ser+(ab),,NN Ser,http://simbad.harvard.edu/simbad/sim-id?Ident=NN+Ser,,,,
